1,1년동안 유학을 가게됬다고 거짓말을 해보세요,없음,7
1,3번 스킨십을 피해보세요. 물론 그 다음은 적극적인 모습으로 풀어줘야해요!,스킨십,10
1,가위바위보!! 이긴 사람이 '꿀밤' 때리기를 해보세요. 봐주면 안돼요!,ㄲㅂ,10
1,가위바위보!! 이긴 사람이 손목 때리기를 해보세요. 봐주면 안돼요!,검지와 중지,10
1,"감성돋는 새벽, 파트너에게 전화를 걸어 잠을 깨워 보세요",전화,5
1,거침없이 하이킥을 날려보세요. 굳이 상대를 맞추지 않아도 위협적일 꺼예요.,태권도,10
1,게이(트렌스젠더)라고 거짓 고백을 해보세요,리수와 석천,7
1,그(그녀) 몰래 뒤에서 다가가 치한인 척 연기해 보세요,음흉,10
1,그(그녀) 몰래 얼굴에 낙서를 해보세요. 물론 그 모습으로 밖으로 나가야 해요.,펜,10
1,그(그녀)에게 취할 때 까지 술을 먹요 보세요. 끝장을 보자구요.,처음처럼,10
1,그(그녀)에게 화장을 곱게 해주세요. 곱게..곱게…,ㅎㅈ,10
1,그(그녀)의 발가락을 간질간질 간지럽혀 보세요,발,10
1,그(그녀)의 사랑스러운 뱃살을 부드럽게 터치해 주세요,배,10
1,그(그녀)의 옆구리를 콕콕 찔러 보세요,옆,10
1,그(그녀)의 음식에 몰래 매운 소스를 넣어보세요,핫,10
1,그(그녀)의 지갑을 숨겨보세요. ,돈,10
1,그(그녀)의 커플링을 숨겨보세요. 진땀이 줄줄,쥬얼리,10
1,그(그녀)의 핸드폰을 숨겨보세요~ 무음으로 바꾸는 것 잊지말아요!,핸드폰,10
1,그(그녀)의 헤어스타일을 완성해 주세요. 그 모습으로 함께 데이트를 해야해요.,머리,10
1,길에서 큰소리로 그(그녀)의 이름을 불러주세요. 부끄럽겠죠?,소리,10
1,까르르 까르르 동심으로 돌아가 술래잡기를 해보세요,동심,10
1,"다정하게 음식을 먹여주는 척, 약올려 보세요",약,10
1,데이트 하는 하루 내내 그녀의 음식을 한입씩 뺏어 먹어 보세요,한입,10
1,둘이서 하는 즐거운 숨바꼭질. 상대를 찾지 말아보세요,동심,10
1,로또에 당첨되었다고 거짓말을 해보세요.,기적,7
1,볼 옆에 손가락 가동! 그(그녀)의 이름을 불러 볼을 쿡 찔러 보세요!,볼,10
1,볼륨 최대 상태에서 멋있게 이어폰 파트너의 귀에 꽂아주세요,귀,10
1,비련의 주인공처럼 불치병에 걸렸다고 거짓말을 해보세요,병,7
1,섭섭했던 감정을 모아 로우킥을 날려보세요. 할 수 있어요!,킥,10
1,세기의 대결. 그(그녀)에게 헤드락을 걸고 3초를 버텨보세요,머리,10
1,손에 향수 냄새를 맡아보라고 권하세요. 코를 가져다 댄 순간 퍽! 유치한 장난이 관계를 돈독하게 한답니다.,향수,10
1,"술에 취한 오늘 밤, 그(그녀)에게 전활걸어 주사를 부려 보세요",술,5
1,아무도 모르게 그(그녀)의 핸드폰 전원을 꺼버리세요,전원,10
1,어딘가에 꼭꼭 숨어있다가 화들짝 놀래켜 보세요,워,10
1,여우와 늑대가 득실한 클럽에서 따로 놀아 보세요,클럽,15
1,오레오에 크림대신 치약을 넣어 파트너에게 선물해 보세요,선물,15
1,우스꽝 스러운 옷을 선물해 보세요,선물,15
1,원초적인 그곳을 향해 똥침을 날려보세요,뒤,10
1,은근 슬쩍 발을 걸어 보세요. 심하게 걸면 다칠 수 있으니 적당히~,발,10
1,"자신의 재능으로 거짓말을 해보세요. 단, 그(그녀)가 울어야 성공이에요~",없음,10
